id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,not completed
147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,not completed
148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,not completed
151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,completed
155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,completed
155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,completed
155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,not completed
157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,completed
159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,not completed
164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,completed
167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,completed
168936,F,West Midlands Region,Lower Than A Level,Oct-20,35-55,0,60,N,completed
172112,M,Ireland,HE Qualification,,35-55,0,60,N,completed
172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,completed
174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,completed
175392,M,North Region,HE Qualification,,35-55,0,60,N,completed
175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,completed
175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,not completed
180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,completed
181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,not completed
183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,completed
183947,M,London Region,A Level or Equivalent,Oct-20,0-35,0,180,N,completed
184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,completed
185439,M,London Region,HE Qualification,Oct-20,0-35,0,120,N,not completed
186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,completed
187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,completed
188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,not completed
189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,completed
192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,completed
195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,not completed
200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,completed
202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,not completed
205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,completed
205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,not completed
227499,F,London Region,A Level or Equivalent,Oct-20,35-55,0,60,N,completed
227517,M,Ireland,HE Qualification,,0-35,0,180,N,not completed
228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,completed
228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,completed
229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,completed
229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,completed
231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,completed
235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,not completed
236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,completed
238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,completed
240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,completed
240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,completed
241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,not completed
242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,completed
246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,completed
255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,completed
256815,M,North Western Region,HE Qualification,Oct-20,0-35,0,120,N,completed
258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,completed
258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,completed
260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,not completed
262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,completed
262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,completed
268073,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,90,N,not completed
268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,not completed
271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,completed
277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,not completed
279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,completed
281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,completed
281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,not completed
281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,not completed
282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,completed
286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,completed
290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,completed
291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,not completed
293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,completed
294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,completed
294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,completed
295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,not completed
296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,completed
298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,completed
300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,completed
302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,not completed
305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,not completed
305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,completed
305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,not completed
306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,completed
306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
306897,F,London Region,A Level or Equivalent,Oct-20,0-35,0,60,N,completed
307061,F,East Midlands Region,HE Qualification,Oct-20,0-35,0,60,N,completed
307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,completed
311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,completed
312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,completed
312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,completed
318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,completed
319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,completed
321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,completed
324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,completed
324084,F,South West Region,A Level or Equivalent,Oct-20,35-55,0,60,N,completed
324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,not completed
332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,completed
333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,completed
333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,completed
334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,not completed
334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,not completed
335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,not completed
336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,completed
341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,not completed
342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,not completed
342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,completed
342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,completed
343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,completed
344282,M,Yorkshire Region,A Level or Equivalent,Oct-20,0-35,0,60,N,not completed
345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,completed
345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,completed
346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,completed
346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,not completed
350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,completed
354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,not completed
357668,M,Yorkshire Region,A Level or Equivalent,Oct-20,0-35,0,60,N,not completed
364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,not completed
365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,completed
365642,M,East Anglian Region,Lower Than A Level,Oct-20,35-55,0,60,N,completed
366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,completed
368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,completed
368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,not completed
368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,completed
376439,M,North Region,HE Qualification,,0-35,0,60,N,completed
376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,completed
380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,completed
383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,completed
386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,completed
388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,completed
388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,not completed
392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,not completed
392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,completed
393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,completed
396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,completed
398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,not completed
401869,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,completed
402470,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,completed
404804,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,completed
405088,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,completed
405961,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,not completed
414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,completed
415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,not completed
420087,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,not completed
429958,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,completed
441018,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,completed
441888,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,completed
442442,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,not completed
444677,M,London Region,HE Qualification,30-40%,0-35,0,60,N,completed
470588,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,not completed
489455,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,completed
494424,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,not completed
495284,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,completed
498857,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,completed
508818,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,completed
512460,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,completed
544103,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,completed
550383,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,completed
564450,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,not completed
568601,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,not completed
572652,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,completed
580389,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,completed
581129,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,not completed
588775,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,completed
591774,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,completed
603861,M,North Region,HE Qualification,,55<=,0,60,N,not completed
606143,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,not completed
704156,M,South Region,HE Qualification,90-100%,55<=,0,120,N,completed
705379,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,completed
721259,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,not completed
749412,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,completed
760729,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,completed
905042,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
949618,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,completed
958987,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,completed
968578,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,completed
969076,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,not completed
971027,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,completed
978739,M,South Region,HE Qualification,90-100%,35-55,0,60,N,completed
1035023,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,completed
1105478,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,completed
1352868,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,not completed
1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,not completed
1402638,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,completed
1414443,F,Yorkshire Region,A Level or Equivalent,Oct-20,35-55,0,120,N,not completed
1456619,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,not completed
1465690,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,completed
1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,not completed
1488959,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,completed
1518989,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,completed
1618738,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,completed
1620151,M,South Region,HE Qualification,90-100%,35-55,0,60,N,not completed
1626710,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,completed
1640609,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,completed
1686521,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,not completed
1729319,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,completed
1746134,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,completed
1758449,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,not completed
1763015,F,Scotland,A Level or Equivalent,Oct-20,35-55,0,60,N,not completed
1765788,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,completed
1801229,M,Ireland,HE Qualification,,35-55,0,60,N,completed
1801641,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,completed
1847830,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,completed
1860318,M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,completed
1889511,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,completed
1889577,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,completed
1894188,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,completed
1938355,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
1942396,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,completed
1970390,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,not completed
1976139,M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,completed
2011876,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,completed
2012966,M,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,completed
2051699,F,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,completed
2062879,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,not completed
2065691,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,not completed
2073016,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,not completed
2080474,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
2083877,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,completed
2084066,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,not completed
2104505,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,completed
2122180,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,completed
2139353,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,not completed
2143752,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,completed
2146792,M,North Western Region,HE Qualification,20-30%,55<=,0,60,N,completed
2149225,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,not completed
2153153,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,completed
2155014,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,completed
2164705,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,not completed
2171627,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,completed
2182846,F,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,completed
2194100,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,completed
2197016,F,North Western Region,HE Qualification,30-40%,35-55,0,60,N,completed
2208424,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,completed
2229865,F,West Midlands Region,A Level or Equivalent,Oct-20,35-55,0,60,N,completed
2255601,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,N,not completed
2268379,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,completed
2278464,M,South Region,Lower Than A Level,30-40%,35-55,0,60,N,completed
2293923,M,South Region,A Level or Equivalent,90-100%,0-35,0,150,N,completed
2312620,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,not completed
2318055,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,not completed
2324976,F,Scotland,HE Qualification,90-100%,35-55,0,60,N,not completed
2329342,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,completed
2339528,F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,completed
2342426,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,not completed
2344901,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,not completed
2358056,F,North Region,HE Qualification,,0-35,0,60,N,not completed
2358969,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,not completed
2364471,F,Scotland,HE Qualification,90-100%,0-35,0,60,Y,completed
2365101,M,South East Region,HE Qualification,20-30%,0-35,0,300,N,not completed
2367155,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,completed
2369266,F,London Region,Lower Than A Level,70-80%,35-55,0,60,N,completed
2376496,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,completed
2391984,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,not completed
2411661,F,South Region,A Level or Equivalent,80-90%,0-35,0,120,N,not completed
2411778,M,Scotland,HE Qualification,20-30%,0-35,0,120,N,not completed
2412002,M,South West Region,Lower Than A Level,50-60%,35-55,0,90,N,completed
2412967,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,completed
2429854,M,London Region,A Level or Equivalent,Oct-20,35-55,0,120,Y,not completed
2437837,F,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,completed
2449878,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,completed
2456480,M,Scotland,Lower Than A Level,80-90%,35-55,0,120,N,not completed
2457256,M,South Region,Lower Than A Level,80-90%,35-55,0,180,N,completed
2458355,M,London Region,Lower Than A Level,80-90%,35-55,0,60,N,completed
2460080,M,Scotland,HE Qualification,90-100%,55<=,0,60,N,completed
2461190,M,South Region,HE Qualification,70-80%,55<=,0,60,N,not completed
2469673,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,not completed
2470694,F,Scotland,HE Qualification,50-60%,55<=,0,60,N,not completed
2479954,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,completed
2481901,M,Wales,Lower Than A Level,80-90%,35-55,0,60,N,completed
2482700,M,South Region,Lower Than A Level,90-100%,0-35,0,120,N,completed
2486127,F,East Anglian Region,HE Qualification,90-100%,0-35,0,120,N,completed
2498700,F,North Western Region,Lower Than A Level,40-50%,0-35,0,240,N,completed
2516503,M,South East Region,HE Qualification,40-50%,35-55,0,60,N,completed
2518069,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,completed
2521459,F,London Region,Lower Than A Level,Oct-20,0-35,0,60,N,completed
2523736,M,North Western Region,A Level or Equivalent,20-30%,55<=,0,120,N,completed
2529279,F,North Western Region,HE Qualification,60-70%,35-55,0,60,N,completed
2532302,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,completed
2536991,M,South Region,HE Qualification,90-100%,55<=,0,60,N,completed
2542724,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,not completed
2550279,F,North Region,HE Qualification,,35-55,0,60,N,completed
2551220,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,completed
2552472,F,South Region,HE Qualification,80-90%,35-55,0,120,N,not completed
2555340,F,South Region,HE Qualification,90-100%,35-55,0,60,N,completed
2557283,M,Yorkshire Region,HE Qualification,80-90%,55<=,0,60,N,completed
2559575,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,completed
2562034,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,completed
2566163,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,completed
2566592,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,completed
2569324,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,not completed
2574528,M,Ireland,HE Qualification,,35-55,0,60,N,completed
2574583,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,60,N,completed
2576122,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,not completed
2578995,F,West Midlands Region,A Level or Equivalent,Oct-20,0-35,0,60,Y,completed
2586560,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,completed
2594139,F,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,completed
2598871,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,completed
2599352,F,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,completed
2600688,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,completed
2606098,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,completed
2613116,F,London Region,Lower Than A Level,Oct-20,35-55,0,60,N,completed
