id_student,highest_education,disability,final_result
311659,A Level or Equivalent,N,not completed
313937,HE Qualification,N,completed
315076,A Level or Equivalent,N,completed
315744,A Level or Equivalent,N,completed
323370,A Level or Equivalent,N,completed
323805,A Level or Equivalent,N,not completed
328024,A Level or Equivalent,N,completed
328734,A Level or Equivalent,N,not completed
329659,A Level or Equivalent,Y,not completed
330594,Lower Than A Level,N,completed
331358,HE Qualification,N,completed
332884,A Level or Equivalent,N,completed
334441,HE Qualification,N,not completed
335247,A Level or Equivalent,N,completed
335764,A Level or Equivalent,N,completed
337748,A Level or Equivalent,N,not completed
338407,A Level or Equivalent,N,completed
341876,HE Qualification,N,not completed
342007,HE Qualification,N,completed
345440,HE Qualification,N,completed
345519,A Level or Equivalent,N,completed
346118,A Level or Equivalent,N,completed
348275,HE Qualification,N,not completed
348807,A Level or Equivalent,N,completed
350156,A Level or Equivalent,N,completed
350939,Lower Than A Level,N,completed
351336,A Level or Equivalent,N,completed
353665,A Level or Equivalent,N,completed
354170,A Level or Equivalent,N,not completed
356170,HE Qualification,N,completed
358182,Lower Than A Level,N,completed
364957,HE Qualification,N,completed
369834,A Level or Equivalent,N,not completed
371710,HE Qualification,N,completed
373872,A Level or Equivalent,N,completed
375260,HE Qualification,N,completed
375646,A Level or Equivalent,N,completed
377546,A Level or Equivalent,Y,completed
381642,A Level or Equivalent,N,not completed
382095,Lower Than A Level,N,completed
383180,A Level or Equivalent,N,not completed
383600,A Level or Equivalent,N,completed
383723,HE Qualification,N,completed
384203,HE Qualification,N,completed
384725,Lower Than A Level,N,completed
387533,HE Qualification,N,not completed
387954,A Level or Equivalent,N,not completed
388147,A Level or Equivalent,N,not completed
390890,A Level or Equivalent,N,completed
391249,HE Qualification,N,completed
396599,Lower Than A Level,Y,not completed
396655,Lower Than A Level,Y,not completed
398171,A Level or Equivalent,N,completed
398349,HE Qualification,N,completed
400147,Lower Than A Level,N,completed
400682,A Level or Equivalent,N,completed
401404,A Level or Equivalent,N,completed
402204,A Level or Equivalent,N,completed
402727,A Level or Equivalent,Y,completed
402961,Lower Than A Level,N,completed
404356,A Level or Equivalent,N,completed
406671,A Level or Equivalent,N,completed
406682,HE Qualification,N,completed
409100,HE Qualification,N,completed
409703,A Level or Equivalent,N,completed
410092,A Level or Equivalent,N,completed
411971,A Level or Equivalent,N,completed
415969,HE Qualification,N,not completed
418731,A Level or Equivalent,N,not completed
421455,A Level or Equivalent,N,completed
424577,HE Qualification,N,completed
429858,Lower Than A Level,N,completed
431025,A Level or Equivalent,N,not completed
439305,A Level or Equivalent,N,completed
440319,A Level or Equivalent,N,not completed
442064,HE Qualification,N,completed
442132,HE Qualification,N,completed
446108,A Level or Equivalent,N,completed
447481,A Level or Equivalent,N,completed
468120,Lower Than A Level,N,not completed
468694,A Level or Equivalent,N,not completed
470588,HE Qualification,N,not completed
470982,HE Qualification,N,completed
476603,A Level or Equivalent,N,completed
481022,A Level or Equivalent,N,not completed
483800,A Level or Equivalent,N,completed
484897,A Level or Equivalent,N,completed
485962,HE Qualification,N,completed
488382,A Level or Equivalent,N,not completed
488990,A Level or Equivalent,N,completed
500113,A Level or Equivalent,N,completed
503889,A Level or Equivalent,N,completed
514526,Lower Than A Level,Y,not completed
518808,HE Qualification,N,completed
522482,HE Qualification,N,not completed
527100,HE Qualification,N,completed
527801,Lower Than A Level,N,not completed
533068,HE Qualification,N,completed
537081,HE Qualification,N,not completed
544253,A Level or Equivalent,N,completed
548120,HE Qualification,N,completed
561467,A Level or Equivalent,N,not completed
567922,A Level or Equivalent,N,not completed
569505,HE Qualification,N,completed
570317,A Level or Equivalent,N,completed
574505,HE Qualification,N,completed
588477,HE Qualification,N,completed
593846,HE Qualification,N,not completed
593987,HE Qualification,N,not completed
596288,HE Qualification,N,completed
598070,A Level or Equivalent,N,not completed
603834,HE Qualification,N,completed
603861,HE Qualification,N,not completed
608440,HE Qualification,N,not completed
623710,A Level or Equivalent,N,not completed
623840,A Level or Equivalent,N,completed
626240,HE Qualification,N,completed
628088,A Level or Equivalent,Y,not completed
628312,HE Qualification,N,not completed
630142,A Level or Equivalent,N,not completed
637665,HE Qualification,N,completed
639053,A Level or Equivalent,N,completed
642878,HE Qualification,N,not completed
648130,A Level or Equivalent,N,not completed
676546,HE Qualification,N,not completed
677186,HE Qualification,N,completed
677281,A Level or Equivalent,N,not completed
684180,HE Qualification,N,completed
687698,HE Qualification,N,completed
696073,Lower Than A Level,N,completed
696578,HE Qualification,N,not completed
721259,Lower Than A Level,N,not completed
852847,A Level or Equivalent,N,not completed
998493,A Level or Equivalent,N,completed
1045203,Lower Than A Level,N,completed
1112555,A Level or Equivalent,N,completed
1183831,HE Qualification,N,not completed
1268696,HE Qualification,N,completed
1336190,HE Qualification,N,completed
1352868,A Level or Equivalent,N,completed
1398979,A Level or Equivalent,N,not completed
1456619,A Level or Equivalent,N,not completed
1469279,HE Qualification,N,not completed
1471214,A Level or Equivalent,N,completed
1472925,Lower Than A Level,Y,completed
1484804,A Level or Equivalent,N,completed
1511033,A Level or Equivalent,N,completed
1576513,A Level or Equivalent,N,completed
1609002,A Level or Equivalent,N,completed
1629771,A Level or Equivalent,N,completed
1676594,HE Qualification,N,not completed
1686551,A Level or Equivalent,N,not completed
1689639,Lower Than A Level,N,not completed
1715896,A Level or Equivalent,N,completed
1721270,Lower Than A Level,N,completed
1757766,A Level or Equivalent,N,completed
1773377,A Level or Equivalent,N,completed
1799111,A Level or Equivalent,N,completed
1818673,HE Qualification,N,not completed
1839386,Lower Than A Level,N,not completed
1926668,Lower Than A Level,N,completed
1947156,A Level or Equivalent,N,completed
1967783,A Level or Equivalent,Y,completed
1970390,Lower Than A Level,N,completed
1975209,Lower Than A Level,N,completed
2010232,A Level or Equivalent,N,completed
2045084,HE Qualification,N,not completed
2057803,Lower Than A Level,N,completed
2073016,Lower Than A Level,N,not completed
2085209,HE Qualification,N,completed
2086400,A Level or Equivalent,N,completed
2139353,A Level or Equivalent,N,completed
2148681,Lower Than A Level,N,completed
2158048,A Level or Equivalent,N,not completed
2158196,Lower Than A Level,N,not completed
2165164,Lower Than A Level,N,completed
2168833,Lower Than A Level,N,not completed
2207874,Lower Than A Level,N,not completed
2240349,Lower Than A Level,N,completed
2244332,A Level or Equivalent,N,completed
2273119,A Level or Equivalent,N,not completed
2277857,A Level or Equivalent,N,completed
2297896,A Level or Equivalent,N,completed
2313257,A Level or Equivalent,N,not completed
2318055,A Level or Equivalent,N,completed
2330254,Lower Than A Level,N,completed
2355470,A Level or Equivalent,N,completed
2358969,A Level or Equivalent,N,completed
2363863,A Level or Equivalent,N,completed
2365101,HE Qualification,N,not completed
2369415,A Level or Equivalent,N,completed
2375975,A Level or Equivalent,Y,completed
2397661,Lower Than A Level,N,completed
2398313,Lower Than A Level,N,completed
2404408,Lower Than A Level,N,not completed
2425993,HE Qualification,N,completed
2429854,A Level or Equivalent,Y,not completed
2432796,HE Qualification,N,completed
2434159,A Level or Equivalent,N,completed
2436812,A Level or Equivalent,N,not completed
2467267,HE Qualification,N,completed
2470694,HE Qualification,N,not completed
2473538,A Level or Equivalent,N,completed
2474849,A Level or Equivalent,N,not completed
2494700,HE Qualification,N,completed
2500258,A Level or Equivalent,N,completed
2507842,A Level or Equivalent,N,not completed
2509639,A Level or Equivalent,N,completed
2514368,A Level or Equivalent,N,completed
2514898,Lower Than A Level,N,completed
2521865,A Level or Equivalent,Y,completed
2522927,A Level or Equivalent,N,completed
2540168,HE Qualification,N,not completed
2546445,HE Qualification,N,not completed
2551797,A Level or Equivalent,N,completed
2551932,Lower Than A Level,N,not completed
2569324,A Level or Equivalent,N,completed
2574990,HE Qualification,N,not completed
2576122,A Level or Equivalent,N,not completed
2578676,Lower Than A Level,N,completed
2581477,Lower Than A Level,N,completed
2584873,A Level or Equivalent,N,completed
2595841,Lower Than A Level,N,not completed
2596621,A Level or Equivalent,N,completed
2601889,HE Qualification,N,completed
2602338,Lower Than A Level,N,not completed
2606802,A Level or Equivalent,N,not completed
2624961,A Level or Equivalent,N,not completed
2630087,Lower Than A Level,N,not completed
2633226,A Level or Equivalent,N,completed
2642616,A Level or Equivalent,N,completed
2642935,Lower Than A Level,N,completed
2648611,A Level or Equivalent,N,completed
2649800,Lower Than A Level,N,completed
2654628,Lower Than A Level,N,completed
2677624,A Level or Equivalent,N,completed
2680312,HE Qualification,N,completed
2688166,Lower Than A Level,N,completed
2690062,A Level or Equivalent,N,not completed
2692514,Lower Than A Level,N,completed
2694788,A Level or Equivalent,Y,not completed
23629,Lower Than A Level,N,not completed
25107,Lower Than A Level,N,completed
27891,Lower Than A Level,Y,not completed
29144,Lower Than A Level,N,not completed
31663,A Level or Equivalent,N,completed
33666,A Level or Equivalent,N,not completed
34229,A Level or Equivalent,N,completed
34353,A Level or Equivalent,Y,not completed
34431,Lower Than A Level,N,not completed
34694,A Level or Equivalent,N,not completed
34756,Lower Than A Level,N,not completed
34863,A Level or Equivalent,N,completed
35812,Lower Than A Level,N,not completed
39655,Lower Than A Level,N,completed
50993,Lower Than A Level,Y,not completed
52899,Lower Than A Level,N,not completed
58089,A Level or Equivalent,N,not completed
62631,A Level or Equivalent,N,not completed
70608,HE Qualification,N,completed
71433,A Level or Equivalent,N,not completed
72070,A Level or Equivalent,N,not completed
74695,Lower Than A Level,N,completed
74734,Lower Than A Level,N,completed
75399,Lower Than A Level,N,completed
78645,Lower Than A Level,N,not completed
79378,Lower Than A Level,Y,not completed
82535,Lower Than A Level,N,completed
82741,Lower Than A Level,N,completed
83254,HE Qualification,N,completed
84245,A Level or Equivalent,N,completed
84664,A Level or Equivalent,N,completed
86291,HE Qualification,N,not completed
87604,A Level or Equivalent,N,not completed
87732,A Level or Equivalent,N,completed
88580,Lower Than A Level,N,not completed
91322,A Level or Equivalent,N,completed
92274,Lower Than A Level,N,not completed
92832,A Level or Equivalent,N,completed
92947,HE Qualification,N,completed
